ababa	a bab a
ababebandlululwa	a ba be bandlulul w a
ababebuye	a ba be buye
ababejayiva	a b a be jayiv a
ababeke	a ba bek e
ababekhona	a ba be kho na
ababekwenza	a b a be kw enz a
ababemazi	a ba be m azi
ababemukela	a ba b emukel a
ababengadeli	a ba be nga del i
ababengase	a ba be nga se
ababengazi	a ba be ng az i
ababengekho	a ba be nge kho
ababenomkhuba	a b a be n o m khuba
ababesendlini	a ba be se n dl ini
ababesonta	a ba be sont a
ababethuthelekela	a ba be thuthel ek el a
ababewusebenzisa	a ba be wu sebenz is a
ababezokudla	a ba be zo ku dl a
ababhuza	a b a bhuz a, a ba bhuz a
ababili	a ba bili
ababona	a ba bon a
ababonanga	a ba bon anga
ababone	a ba bon e
ababuleweyo	a ba bule w e yo
ababuya	a ba buy a
abacabanga	a ba cabang a
abadala	a ba dala
abadlali	a ba dlal i
abadonse	a ba dons e
abadukisa	a b a duk is a, a ba duk is a
abafana	a ba fana
abafika	a ba fik a
abafo	a ba fo
abafowethu	a ba fo w ethu
abafuna	a b a fun a, a ba fun a
abafunde	a ba fund e
abafundi	a ba fund i
abafundisi	a ba fund is i
abafuthe	a ba futh e
abagulayo	a ba gul a yo
abagwaza	a ba gwaz a
abahambi	a ba hamb i
abahle	a ba hle
abahlinzayo	a ba hlinz a yo
abahlobo	a ba hlobo
abahlonipha	a ba hloniph a
abahwathuzisa	a ba hwathuz is a
abakabuthwa	a ba ka buth w a
abakade	a ba kade
abakatholakali	a ba ka thol akal i
abake	a ba ke
abakhohlisanayo	a ba khohl is an a yo
abakhohlwa	a ba khohl w a
abakholwa	a ba khol w a
abakhombise	a b akhomb is e, a ba khomb is e
abakhulu	a ba khulu
abakhwenyana	a ba khwenyana
abakubo	a ba ku bo
abakuboni	a ba ku bon i
abakufisayo	a b a ku fis a yo, a ba ku fis a yo
abakufuni	a ba ku fun i
abakwahulumeni	a ba kwa hulumeni
abakwamidiyani	a ba kwa midiyani
abakwanxumalo	a ba kwa nxumalo
abakwenziwe	a ba kw enz iw e
abalamu	a ba lamu
abalapha	a ba lapha
abalinde	a ba lind e
abalisa	a ba lisa
abamazi	a ba m azi
abamlindile	a ba m lind ile
abancane	a ba ncane
abandayo	a band a yo
abangaboni	a ba nga bon i
abangakaze	a ba nga kaze
abangakhulelwe	a ba nga khul el w e
abangalali	a ba nga lal i
abanganqoba	a ba nga nqob a
abangase	a ba nga se
abangathanda	a ba nga thand a
abangayazi	a ba nga y azi
abangazange	a ba nga zange
abangazazi	a ba nga zaz i
abangaziwa	a ba ng az iw a
abangenamandla	a ba nge na ma ndla
abangene	a ba ngen e
abaningi	a ba ningi
abantababantu	a ba nta b a ba ntu
abantu	a ba ntu
abantwana	a ba ntwana
abanye	a ba nye
abaphambili	a ba phambili
abaphansi	a ba phansi
abaphathe	a ba phath e
abaphatheka	a ba phath ek a
abaphe	a ba ph e
abaphilayo	a ba phil a yo
abaphose	a ba phos e
abaqaphi	a ba qaph i
abaqondene	a ba qond en e
abaqonywa	a ba qony w a
abarimi	a ba rim i, a ba rimi
abasahleki	a ba sa hlek i
abasaphathekile	a ba sa phath ek ile
abasaqungayo	a ba sa qung a yo
abasebenza	a ba sebenz a
abasenakuphela	a ba se na ku phel a
abasha	a ba sha
abashana	a ba sh ana
abashayeli	a ba shayel i
abashova	a ba shov a
abasikhulumayo	a ba si khulum a yo
abasize	a ba siz e
abasonta	a b a sont a, a ba sont a
abathe	a ba th e
abathengisele	a ba theng is el e
abathi	a ba thi
abathunjiwe	a ba thunj iw e
abathunywe	a ba thuny w e
abathwele	a ba thwel e
abavakashelayo	a ba vakash el a yo
abavame	a ba vam e
abavela	a b a vel a, a ba vel a
abawa	a ba w a
abaya	a ba y a
abayazi	a ba y azi
abayidlayo	a ba yi dl a yo
abayikhulumayo	a ba yi khulum a yo
abayodlala	a ba yo dlal a
abayosiza	a ba yo siz a
abazala	a ba zal a
abazali	a ba zal i
abazenzayo	a ba z enz a yo
abazenzi	a ba z enz i
abazi	a b azi
abazifisayo	a ba zi fis a yo
abazifunayo	a ba zi fun a yo
